time	I(L1)
4.771131000000398e-04	9.474372e+00
4.826137921978974e-04	9.030594e+00
4.895821927121712e-04	6.289793e+00
4.983478814871898e-04	2.117938e+00
4.999900000000000e-04	1.323525e+00
5.000200000000000e-04	1.308998e+00
5.000800000000000e-04	1.277059e+00
5.002000000000000e-04	1.197473e+00
5.002900000000000e-04	1.123429e+00
5.002920000000001e-04	1.121524e+00
5.002960000000000e-04	1.117440e+00
5.003040000000000e-04	1.107824e+00
5.003100000000000e-04	1.096071e+00
5.003106000000000e-04	1.094698e+00
5.003118000000000e-04	1.091950e+00
5.003141999999999e-04	1.086447e+00
5.003189999999999e-04	1.075439e+00
5.003286000000000e-04	1.053434e+00
5.003477999999999e-04	1.009489e+00
5.003861999999998e-04	9.219007e-01
5.004629999999996e-04	7.479799e-01
5.004899999999999e-04	6.872484e-01
5.004927000000000e-04	6.811898e-01
5.004981000000001e-04	6.690840e-01
5.005089000000002e-04	6.448977e-01
5.005305000000004e-04	5.966198e-01
5.005737000000009e-04	5.004435e-01
5.006601000000020e-04	3.093685e-01
5.008329000000040e-04	-6.777883e-02
5.011785000000080e-04	-8.017407e-01
5.018697000000161e-04	-2.186246e+00
5.032521000000324e-04	-4.617351e+00
5.060169000000648e-04	-8.181020e+00
5.110619356965368e-04	-1.103622e+01
5.117168823577260e-04	-1.104501e+01
5.130267756801044e-04	-1.094165e+01
5.156465623248614e-04	-1.027310e+01
5.208861356143752e-04	-6.745811e+00
5.286006941633150e-04	-1.539599e+00
5.333600000000000e-04	8.974164e-01
5.333830000000000e-04	9.076423e-01
5.334290000000000e-04	9.294044e-01
5.335209999999999e-04	9.815851e-01
5.335899999999999e-04	1.028954e+00
5.335919999999999e-04	1.030571e+00
5.335959999999999e-04	1.034134e+00
5.336039999999999e-04	1.042668e+00
5.336099999999999e-04	1.050317e+00
5.336105999999999e-04	1.051138e+00
5.336117999999999e-04	1.052780e+00
5.336141999999998e-04	1.056069e+00
5.336189999999998e-04	1.062669e+00
5.336285999999998e-04	1.075955e+00
5.336477999999998e-04	1.102868e+00
5.336861999999996e-04	1.158042e+00
5.337629999999995e-04	1.273744e+00
5.338599999999999e-04	1.429973e+00
5.342133571428587e-04	2.007042e+00
5.345667142857175e-04	2.559801e+00
5.349200714285762e-04	3.088251e+00
5.352734285714350e-04	3.592392e+00
5.356267857142937e-04	4.072222e+00
5.359801428571526e-04	4.527743e+00
5.363335000000113e-04	4.958954e+00
5.388167000000226e-04	7.366139e+00
5.437831000000453e-04	9.479680e+00
5.493737862683595e-04	8.917600e+00
5.564420712514376e-04	6.054251e+00
5.653380925919476e-04	1.797678e+00
5.666600000000000e-04	1.153966e+00
5.666900000000000e-04	1.139349e+00
5.667500000000000e-04	1.107222e+00
5.668699999999999e-04	1.027261e+00
5.669599999999999e-04	9.529401e-01
5.669620000000000e-04	9.510289e-01
5.669659999999999e-04	9.469331e-01
5.669739999999999e-04	9.372925e-01
5.669799999999999e-04	9.255211e-01
5.669805999999999e-04	9.241467e-01
5.669817999999999e-04	9.213952e-01
5.669841999999998e-04	9.158856e-01
5.669889999999998e-04	9.048631e-01
5.669985999999999e-04	8.828286e-01
5.670177999999998e-04	8.388262e-01
5.670561999999997e-04	7.511222e-01
5.671329999999995e-04	5.769736e-01
5.671599999999999e-04	5.161630e-01
5.671627000000000e-04	5.100965e-01
5.671681000000001e-04	4.979749e-01
5.671789000000003e-04	4.737587e-01
5.672005000000006e-04	4.254278e-01
5.672437000000013e-04	3.291132e-01
5.673301000000026e-04	1.378550e-01
5.675029000000054e-04	-1.850342e-01
5.678485000000108e-04	-7.682098e-01
5.685397000000217e-04	-1.834456e+00
5.699221000000435e-04	-3.685013e+00
5.726869000000870e-04	-6.398514e+00
5.782165000001741e-04	-8.745309e+00
5.838352184558005e-04	-8.271209e+00
5.910417460710457e-04	-5.658457e+00
5.999163766454841e-04	-1.808725e+00
6.000300000000000e-04	-1.755302e+00
6.000413623354515e-04	-1.749957e+00
6.000640870063547e-04	-1.739272e+00
6.001095363481610e-04	-1.716067e+00
6.002004350317737e-04	-1.660770e+00
6.002599999999999e-04	-1.617712e+00
6.002620000000000e-04	-1.616033e+00
6.002659999999999e-04	-1.612347e+00
6.002739999999999e-04	-1.603566e+00
6.002747500000000e-04	-1.602631e+00
6.002762499999999e-04	-1.600704e+00
6.002792499999999e-04	-1.595067e+00
6.002799999999999e-04	-1.593407e+00
6.002800749999999e-04	-1.593236e+00
6.002802250000000e-04	-1.592894e+00
6.002805250000000e-04	-1.592210e+00
6.002811250000000e-04	-1.590845e+00
6.002823250000001e-04	-1.588115e+00
6.002847250000002e-04	-1.582653e+00
6.002895250000004e-04	-1.571720e+00
6.002991250000009e-04	-1.549838e+00
6.003183250000019e-04	-1.506089e+00
6.003567250000040e-04	-1.418807e+00
