time	I(L1)
4.002662500000000e-04	-2.271615e+00
4.002692500000000e-04	-2.266762e+00
4.002700000000000e-04	-2.265340e+00
4.002700750000000e-04	-2.265194e+00
4.002702250000000e-04	-2.264901e+00
4.002705250000000e-04	-2.264317e+00
4.002711250000000e-04	-2.263149e+00
4.002723250000000e-04	-2.260814e+00
4.002747249999999e-04	-2.256142e+00
4.002795249999998e-04	-2.246789e+00
4.002891249999996e-04	-2.228068e+00
4.003083249999992e-04	-2.190631e+00
4.003467249999985e-04	-2.115896e+00
4.004235249999969e-04	-1.967106e+00
4.005200000000000e-04	-1.781558e+00
4.005296475000003e-04	-1.763100e+00
4.005489425000009e-04	-1.726237e+00
4.005875325000021e-04	-1.652784e+00
4.006647125000046e-04	-1.506740e+00
4.008190725000095e-04	-1.217548e+00
4.011277925000194e-04	-6.505115e-01
4.017452325000391e-04	4.374054e-01
4.029801125000786e-04	2.423908e+00
4.054498725001575e-04	5.636838e+00
4.095807019079218e-04	8.075208e+00
4.142706433979341e-04	8.377723e+00
4.205040817054056e-04	6.791041e+00
4.281940462684018e-04	3.716974e+00
4.333200000000000e-04	1.585237e+00
4.333500000000000e-04	1.572644e+00
4.334100000000000e-04	1.545120e+00
4.335300000000000e-04	1.476987e+00
4.336200000000000e-04	1.413918e+00
4.336219999999999e-04	1.412300e+00
4.336259999999999e-04	1.408839e+00
4.336340000000000e-04	1.400716e+00
4.336399999999999e-04	1.390860e+00
4.336405999999999e-04	1.389711e+00
4.336417999999999e-04	1.387411e+00
4.336441999999999e-04	1.382805e+00
4.336489999999999e-04	1.373590e+00
4.336585999999999e-04	1.355169e+00
4.336777999999998e-04	1.318385e+00
4.337161999999997e-04	1.245077e+00
4.337929999999996e-04	1.099527e+00
4.338200000000000e-04	1.048608e+00
4.338227000000000e-04	1.043524e+00
4.338281000000001e-04	1.033364e+00
4.338389000000002e-04	1.013051e+00
4.338605000000005e-04	9.724516e-01
4.339037000000011e-04	8.913875e-01
4.339901000000023e-04	7.299395e-01
4.341629000000047e-04	4.102915e-01
4.345085000000094e-04	-2.145727e-01
4.351997000000189e-04	-1.404307e+00
4.365821000000379e-04	-3.538134e+00
4.393469000000759e-04	-6.836165e+00
4.441298626509684e-04	-8.916505e+00
